job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role
AIJOB0011,AI Solutions Architect,Architecture,Mid,7,Associate's,180000.0,90000.0,320000.0,Tokyo,Japan,On-site,Startup (1-50),Technology,Cloud|Python|Leadership|Enterprise Architecture|Cloud,12.2,84,14.8,9.5,2026,2,0,0,0
AIJOB0012,Prompt Engineer,AI Engineering,Entry,1,Master's,118000.0,90000.0,300000.0,Tokyo,Japan,Hybrid,Enterprise (5000+),Education,Documentation|Python|Prompt Design|Problem Solving,39.49,82,8.9,9.7,2025,3,0,1,1
AIJOB0013,Senior ML Engineer,AI Engineering,Senior,8,Bootcamp/Self-taught,180000.0,95000.0,320000.0,Beijing,China,On-site,Startup (1-50),Retail,LLM Fine-tuning|Python|MLOps|Problem Solving|Leadership|Statistics,13.25,96,32.4,7.5,2026,2,1,0,0
AIJOB0014,AI Solutions Architect,Architecture,Lead,15,Bootcamp/Self-taught,180000.0,180000.0,320000.0,Toronto,Canada,Fully Remote,Startup (1-50),Finance,System Design|Leadership|Cloud|Agile|Linux|Statistics,28.0,84,8.9,9.2,2026,3,0,1,0
AIJOB0015,AI Agent Developer,AI Engineering,Entry,3,Bachelor's,209000.0,90000.0,300000.0,Dubai,UAE,Hybrid,Startup (1-50),Consulting,Python|APIs|LangChain|Tool Use|AutoGen|Communication|Statistics|Problem Solving,7.18,96,50.7,9.4,2026,1,0,1,1
AIJOB0016,AI Agent Developer,AI Engineering,Entry,3,Bachelor's,155000.0,90000.0,300000.0,Amsterdam,Netherlands,Fully Remote,Mid-size (501-5000),Research,LangChain|Tool Use|Planning Systems|AutoGen|Python|Git,20.51,96,75.9,8.2,2025,3,0,1,1
AIJOB0017,ML Engineer,AI Engineering,Mid,6,PhD,120000.0,90000.0,320000.0,Paris,France,Fully Remote,Mid-size (501-5000),Healthcare,TensorFlow|Kubernetes|MLOps|Linux|Communication|Problem Solving,41.46,97,68.8,7.3,2026,3,0,1,0
AIJOB0018,Generative AI Engineer,AI Engineering,Entry,2,Bachelor's,162000.0,90000.0,300000.0,London,UK,On-site,Mid-size (501-5000),Consulting,GenAI APIs|Deployment|Diffusion Models|LLMs|Fine-tuning|Python|SQL,16.92,95,78.1,9.7,2025,11,0,0,1
AIJOB0019,AI Security Engineer,Security,Mid,7,Bachelor's,228000.0,90000.0,320000.0,Sydney,Australia,Hybrid,Big Tech (FAANG+),Government,Risk Analysis|Python|Cybersecurity|Problem Solving,11.22,80,15.9,9.7,2025,10,0,1,0
AIJOB0020,Deep Learning Engineer,AI Engineering,Mid,6,Bachelor's,185000.0,90000.0,320000.0,Berlin,Germany,Hybrid,Startup (1-50),Consulting,Neural Networks|Python|TensorFlow|CUDA|PyTorch|Git|Agile|Leadership,9.76,89,12.4,6.5,2026,2,0,1,0
AIJOB0021,Multimodal AI Engineer,AI Engineering,Entry,3,Bootcamp/Self-taught,300000.0,90000.0,300000.0,Chicago,USA,On-site,Big Tech (FAANG+),Consulting,PyTorch|Vision-Language Models|APIs|Fine-tuning|Research|Problem Solving,53.85,90,27.5,9.0,2025,2,0,0,1
AIJOB0022,MLOps Engineer,ML Operations,Senior,9,Bachelor's,260000.0,95000.0,320000.0,Dubai,UAE,On-site,Big Tech (FAANG+),Technology,Monitoring|Docker|Kubernetes|MLflow|SQL,25.3,93,77.0,6.3,2026,3,1,0,0
AIJOB0023,AI Business Analyst,Business,Mid,7,Bootcamp/Self-taught,180000.0,90000.0,320000.0,Los Angeles,USA,On-site,Enterprise (5000+),Media,SQL|Communication|Python|Data Visualization|Business Analysis|Leadership|Research|SQL,12.2,78,16.4,9.0,2026,3,0,0,0
AIJOB0024,RAG Engineer,AI Engineering,Entry,3,Associate's,230000.0,90000.0,300000.0,Toronto,Canada,Fully Remote,Enterprise (5000+),Finance,Embeddings|LLMs|Vector DBs|Search Systems|LangChain|Python|Communication|Agile|Research,17.95,94,39.5,9.4,2025,3,0,1,1
AIJOB0025,NLP Engineer,AI Engineering,Senior,8,Bachelor's,145000.0,95000.0,320000.0,Sydney,Australia,Hybrid,SME (51-500),Manufacturing,LLMs|Python|Transformers|Text Processing|BERT|Hugging Face|Cloud|Research|SQL,30.12,91,80.1,9.2,2026,3,1,1,0
AIJOB0026,Robotics Engineer (AI),Robotics,Senior,10,Master's,125000.0,95000.0,320000.0,Beijing,China,Hybrid,SME (51-500),Energy,Computer Vision|C++|Simulation|Linux|Research|Problem Solving,39.76,76,19.8,8.5,2025,7,1,1,0
AIJOB0027,Senior Data Scientist,Data Science,Senior,8,PhD,157000.0,95000.0,320000.0,Zurich,Switzerland,Fully Remote,SME (51-500),Technology,Causal Inference|Leadership|ML|Advanced Statistics|Deep Learning|Python|Research,24.34,90,28.8,6.9,2025,11,1,1,0
AIJOB0028,ML Engineer,AI Engineering,Mid,6,Bachelor's,224000.0,90000.0,320000.0,San Francisco,USA,Hybrid,SME (51-500),Energy,MLOps|Python|PyTorch|SQL|Agile|Statistics|Linux,9.27,97,23.4,9.1,2026,1,0,1,0
AIJOB0029,AI Business Analyst,Business,Entry,3,Bootcamp/Self-taught,180000.0,90000.0,300000.0,San Francisco,USA,Hybrid,Mid-size (501-5000),Manufacturing,Communication|Python|SQL|Agile|Git|SQL,7.69,78,6.7,8.5,2025,7,0,1,0
AIJOB0030,AI Ethics Officer,Governance,Senior,10,Bootcamp/Self-taught,208000.0,95000.0,320000.0,Boston,USA,Hybrid,Enterprise (5000+),Research,Research|Ethics Frameworks|Communication|Research|Problem Solving|Cloud,0.24,72,11.1,9.6,2025,8,1,1,0
AIJOB0031,NLP Engineer,AI Engineering,Senior,8,PhD,290000.0,95000.0,320000.0,Zurich,Switzerland,On-site,Big Tech (FAANG+),Media,LLMs|Transformers|BERT|Hugging Face|Agile|Problem Solving,39.76,91,21.2,8.7,2026,1,1,0,0
AIJOB0032,AI Infrastructure Eng,Infrastructure,Mid,4,Bachelor's,270000.0,90000.0,320000.0,Remote,Global,Hybrid,Enterprise (5000+),Research,Networking|Kubernetes|CUDA|Distributed Systems|Storage|Cloud|Leadership|Statistics|Cloud,31.71,85,16.3,7.2,2025,12,0,1,0
AIJOB0033,Deep Learning Engineer,AI Engineering,Senior,10,Master's,141000.0,95000.0,320000.0,Toronto,Canada,Hybrid,Startup (1-50),Healthcare,CUDA|GPU Computing|TensorFlow|Python|Neural Networks|Communication|Statistics,32.05,89,8.2,6.2,2025,5,1,1,0
AIJOB0034,AI Infrastructure Eng,Infrastructure,Mid,6,Bachelor's,160000.0,90000.0,320000.0,Austin,USA,Hybrid,Enterprise (5000+),Government,Distributed Systems|CUDA|Kubernetes|Cloud|Networking|Storage|Git,21.95,85,22.2,6.6,2026,2,0,1,0
AIJOB0035,Senior ML Engineer,AI Engineering,Senior,8,Associate's,223000.0,95000.0,320000.0,London,UK,Hybrid,Startup (1-50),Automotive,MLOps|Distributed Systems|System Design|LLM Fine-tuning|PyTorch|Python|Problem Solving|SQL|Git,7.47,96,20.9,6.9,2026,1,1,1,0
AIJOB0036,AI Engineer,AI Engineering,Mid,4,PhD,221000.0,90000.0,320000.0,Amsterdam,Netherlands,Hybrid,Enterprise (5000+),Finance,Cloud (AWS/GCP/Azure)|PyTorch|Python|Docker|LLM Integration|Problem Solving|Communication|Cloud,7.8,95,81.3,9.1,2025,3,0,1,0
AIJOB0037,MLOps Engineer,ML Operations,Senior,8,Bootcamp/Self-taught,130000.0,95000.0,320000.0,Beijing,China,Fully Remote,Big Tech (FAANG+),Technology,Monitoring|CI/CD|Docker|Cloud|Kubernetes|Problem Solving,37.35,93,59.1,6.1,2025,11,1,1,0
AIJOB0038,AI Business Analyst,Business,Senior,8,Associate's,95000.0,95000.0,320000.0,Bangalore,India,Hybrid,Startup (1-50),Government,Data Visualization|Communication|Python|Problem Solving,54.22,78,7.3,7.3,2025,11,1,1,0
AIJOB0039,Data Scientist,Data Science,Mid,5,Bootcamp/Self-taught,195000.0,90000.0,320000.0,Chicago,USA,Fully Remote,Mid-size (501-5000),Government,Scikit-learn|Python|SQL|Statistics|Git,4.88,92,15.1,9.3,2026,1,0,1,0
AIJOB0040,Deep Learning Engineer,AI Engineering,Mid,6,Bootcamp/Self-taught,238000.0,90000.0,320000.0,Dubai,UAE,Hybrid,Mid-size (501-5000),Consulting,GPU Computing|PyTorch|TensorFlow|CUDA|Neural Networks|SQL,16.1,89,9.0,8.1,2026,1,0,1,0
AIJOB0041,NLP Engineer,AI Engineering,Mid,7,Master's,192000.0,90000.0,320000.0,Boston,USA,Hybrid,Enterprise (5000+),Energy,LLMs|Text Processing|Hugging Face|Python|Transformers|Linux|Cloud|Communication,6.34,91,78.1,7.0,2026,2,0,1,0
AIJOB0042,AI Product Manager,Product,Senior,10,PhD,149000.0,95000.0,320000.0,Dubai,UAE,Hybrid,Mid-size (501-5000),Media,Data Analysis|Agile|Product Strategy|AI Literacy|Stakeholder Mgmt|Statistics|Leadership,28.19,85,26.7,9.7,2025,7,1,1,0
AIJOB0043,NLP Engineer,AI Engineering,Senior,9,Bootcamp/Self-taught,164000.0,95000.0,320000.0,Amsterdam,Netherlands,Hybrid,Startup (1-50),Finance,Text Processing|Transformers|LLMs|Python|BERT|Hugging Face|Research,20.96,91,67.7,7.6,2026,1,1,1,0
AIJOB0044,Senior ML Engineer,AI Engineering,Mid,6,Associate's,272000.0,90000.0,320000.0,Remote,Global,Hybrid,Mid-size (501-5000),Consulting,Distributed Systems|LLM Fine-tuning|MLOps|PyTorch|System Design|SQL|Git|Communication,32.68,96,31.6,6.3,2026,3,0,1,0
AIJOB0045,AI Infrastructure Eng,Infrastructure,Entry,3,PhD,270000.0,90000.0,300000.0,Boston,USA,Hybrid,Enterprise (5000+),Media,Cloud|CUDA|Storage|Kubernetes|Distributed Systems|Communication,38.46,85,9.5,6.7,2026,2,0,1,0
AIJOB0046,RAG Engineer,AI Engineering,Mid,4,Master's,189000.0,90000.0,320000.0,London,UK,Fully Remote,Enterprise (5000+),Consulting,LLMs|Python|Embeddings|Vector DBs|Search Systems|LangChain|Statistics|Agile,7.8,94,48.3,7.1,2026,2,0,1,1
AIJOB0047,Data Scientist,Data Science,Mid,7,Associate's,146000.0,90000.0,320000.0,London,UK,Fully Remote,Enterprise (5000+),Energy,Python|Scikit-learn|SQL|ML Algorithms|Data Visualization|Research|Agile|Communication,28.78,92,28.9,7.0,2026,3,0,1,0
AIJOB0048,Multimodal AI Engineer,AI Engineering,Entry,3,PhD,180000.0,90000.0,300000.0,Austin,USA,Fully Remote,Startup (1-50),Healthcare,PyTorch|Vision-Language Models|Python|APIs|Fine-tuning|Cloud|Linux|Communication,7.69,90,14.1,7.9,2025,3,0,1,1
AIJOB0049,Computer Vision Engineer,AI Engineering,Mid,4,Bachelor's,234000.0,90000.0,320000.0,Remote,Global,On-site,Mid-size (501-5000),Media,OpenCV|CNNs|PyTorch|Python|SQL|Agile,14.15,87,23.7,7.0,2025,11,0,0,0
AIJOB0050,Data Engineer (AI),Data Engineering,Mid,6,Bachelor's,220000.0,90000.0,320000.0,Boston,USA,On-site,SME (51-500),Healthcare,dbt|Spark|Python|Airflow|SQL|Cloud|Git,7.32,88,29.9,6.4,2025,9,0,0,0
AIJOB0051,Senior Data Scientist,Data Science,Mid,7,Associate's,169000.0,90000.0,320000.0,Sydney,Australia,Hybrid,Enterprise (5000+),Automotive,Leadership|Python|ML|Causal Inference|Advanced Statistics|Deep Learning|Statistics,17.56,90,26.4,6.4,2026,3,0,1,0
AIJOB0052,AI Agent Developer,AI Engineering,Entry,2,PhD,257000.0,90000.0,300000.0,Singapore,Singapore,On-site,Startup (1-50),Automotive,Python|LangChain|APIs|Tool Use|Planning Systems|AutoGen|Problem Solving,31.79,96,30.1,6.8,2026,2,0,0,1
AIJOB0053,AI Compliance Manager,Governance,Mid,5,PhD,188000.0,90000.0,320000.0,Austin,USA,On-site,Big Tech (FAANG+),Healthcare,Auditing|Documentation|EU AI Act|SQL,8.29,68,10.9,7.2,2025,1,0,0,0
AIJOB0054,Senior Data Scientist,Data Science,Senior,10,Bachelor's,157000.0,95000.0,320000.0,Amsterdam,Netherlands,Hybrid,Big Tech (FAANG+),Education,ML|Deep Learning|Advanced Statistics|SQL|Leadership|Agile,24.34,90,30.0,9.2,2026,1,1,1,0
AIJOB0055,AI Ethics Officer,Governance,Mid,5,PhD,110000.0,90000.0,320000.0,Zurich,Switzerland,Hybrid,Startup (1-50),Media,Ethics Frameworks|Research|Risk Assessment|Leadership|Agile|Research,46.34,72,22.5,9.2,2026,3,0,1,0
AIJOB0056,Generative AI Engineer,AI Engineering,Senior,8,Master's,295000.0,95000.0,320000.0,Los Angeles,USA,Fully Remote,Enterprise (5000+),Consulting,Diffusion Models|Deployment|Python|GenAI APIs|Fine-tuning|LLMs|Agile|Statistics|Linux,42.17,95,75.7,6.4,2025,12,1,1,1
AIJOB0057,Data Engineer (AI),Data Engineering,Mid,6,Associate's,160000.0,90000.0,320000.0,Austin,USA,Hybrid,Big Tech (FAANG+),Energy,Feature Stores|Python|Airflow|SQL|dbt|SQL|Agile,21.95,88,17.7,6.6,2026,1,0,1,0
AIJOB0058,Data Engineer (AI),Data Engineering,Senior,8,PhD,130000.0,95000.0,320000.0,Tokyo,Japan,Fully Remote,Mid-size (501-5000),Retail,ETL|dbt|Feature Stores|Python|SQL|Spark|Linux,37.35,88,13.5,6.0,2026,3,1,1,0
AIJOB0059,Multimodal AI Engineer,AI Engineering,Mid,7,Bachelor's,160000.0,90000.0,320000.0,Sydney,Australia,Fully Remote,Startup (1-50),Retail,APIs|Fine-tuning|Vision-Language Models|Linux|Statistics,21.95,90,19.2,6.3,2025,3,0,1,1
AIJOB0060,AI Compliance Manager,Governance,Senior,9,PhD,100000.0,95000.0,320000.0,Beijing,China,Hybrid,Startup (1-50),Finance,Auditing|Legal Knowledge|Risk Management|Documentation|Leadership,51.81,68,22.0,8.3,2026,2,1,1,0
AIJOB0061,ML Engineer,AI Engineering,Mid,6,Bachelor's,120000.0,90000.0,320000.0,London,UK,Hybrid,Enterprise (5000+),Research,TensorFlow|SQL|Kubernetes|Python|Research,41.46,97,53.9,6.9,2026,3,0,1,0
AIJOB0062,Data Engineer (AI),Data Engineering,Entry,2,Bootcamp/Self-taught,130000.0,90000.0,300000.0,Seattle,USA,On-site,Enterprise (5000+),Government,dbt|Airflow|ETL|Feature Stores|SQL|Cloud|Agile|Git,33.33,88,25.0,8.3,2026,2,0,0,0
AIJOB0063,Senior ML Engineer,AI Engineering,Mid,6,Bootcamp/Self-taught,180000.0,90000.0,320000.0,Amsterdam,Netherlands,Hybrid,Startup (1-50),Manufacturing,System Design|Distributed Systems|PyTorch|MLOps|Python|LLM Fine-tuning|Git|Leadership|Communication,12.2,96,62.1,6.6,2025,5,0,1,0
AIJOB0064,Deep Learning Engineer,AI Engineering,Senior,10,Bachelor's,222000.0,95000.0,320000.0,Chicago,USA,Hybrid,Big Tech (FAANG+),Finance,GPU Computing|CUDA|Neural Networks|TensorFlow|PyTorch|Python|Research,6.99,89,24.9,8.2,2025,2,1,1,0
AIJOB0065,MLOps Engineer,ML Operations,Mid,5,Bachelor's,131000.0,90000.0,320000.0,Zurich,Switzerland,Hybrid,Enterprise (5000+),Energy,Monitoring|Python|MLflow|Leadership|Cloud|Research,36.1,93,80.4,7.7,2026,3,0,1,0
AIJOB0066,Deep Learning Engineer,AI Engineering,Entry,3,Associate's,247000.0,90000.0,300000.0,Toronto,Canada,Hybrid,Big Tech (FAANG+),Education,Python|TensorFlow|CUDA|GPU Computing|Neural Networks|PyTorch|Research,26.67,89,14.1,9.5,2025,6,0,1,0
AIJOB0067,Multimodal AI Engineer,AI Engineering,Mid,7,Bachelor's,160000.0,90000.0,320000.0,Beijing,China,On-site,Startup (1-50),Consulting,APIs|PyTorch|Vision-Language Models|Python|Fine-tuning|Problem Solving,21.95,90,29.2,8.7,2025,10,0,0,1
AIJOB0068,AI Infrastructure Eng,Infrastructure,Senior,8,PhD,270000.0,95000.0,320000.0,Seattle,USA,On-site,Mid-size (501-5000),Retail,Networking|Distributed Systems|CUDA|Statistics,30.12,85,28.7,7.8,2025,3,1,0,0
AIJOB0069,Senior Data Scientist,Data Science,Mid,5,Associate's,157000.0,90000.0,320000.0,Seattle,USA,Fully Remote,Mid-size (501-5000),Healthcare,Deep Learning|Advanced Statistics|ML|Python|Causal Inference|Problem Solving,23.41,90,14.1,8.7,2026,3,0,1,0
AIJOB0070,MLOps Engineer,ML Operations,Senior,9,PhD,191000.0,95000.0,320000.0,Zurich,Switzerland,Fully Remote,SME (51-500),Government,Cloud|Kubernetes|Docker|CI/CD|Monitoring|MLflow|Leadership|Problem Solving,7.95,93,73.5,6.5,2025,11,1,1,0
AIJOB0071,AI Ethics Officer,Governance,Senior,8,Associate's,126000.0,95000.0,320000.0,Singapore,Singapore,Fully Remote,Big Tech (FAANG+),Automotive,Risk Assessment|Ethics Frameworks|Research|Linux|Cloud|Git,39.28,72,28.3,7.6,2025,6,1,1,0
AIJOB0072,NLP Engineer,AI Engineering,Mid,4,Master's,167000.0,90000.0,320000.0,Sydney,Australia,On-site,Startup (1-50),Energy,Transformers|Text Processing|Python|Hugging Face|BERT|Linux|Research|Leadership,18.54,91,33.7,9.2,2026,3,0,0,0
AIJOB0073,RAG Engineer,AI Engineering,Entry,2,PhD,157000.0,90000.0,300000.0,Dubai,UAE,Hybrid,Enterprise (5000+),Education,Vector DBs|Embeddings|Search Systems|Git,19.49,94,52.6,6.9,2025,7,0,1,1
AIJOB0074,AI Engineer,AI Engineering,Mid,7,Associate's,100000.0,90000.0,320000.0,Beijing,China,Hybrid,Mid-size (501-5000),Manufacturing,Python|Cloud (AWS/GCP/Azure)|Docker|PyTorch|LLM Integration|SQL|Cloud,51.22,95,72.6,7.3,2026,3,0,1,0
AIJOB0075,Data Scientist,Data Science,Mid,4,Bachelor's,138000.0,90000.0,320000.0,Bangalore,India,Fully Remote,Mid-size (501-5000),Finance,ML Algorithms|Scikit-learn|Data Visualization|SQL|Linux,32.68,92,17.7,6.8,2026,1,0,1,0
AIJOB0076,AI Product Manager,Product,Mid,4,Associate's,258000.0,90000.0,320000.0,Paris,France,Fully Remote,Big Tech (FAANG+),Government,AI Literacy|Stakeholder Mgmt|Data Analysis|Product Strategy|Agile|Git|Statistics,25.85,85,27.4,7.5,2026,2,0,1,0
AIJOB0077,AI Infrastructure Eng,Infrastructure,Entry,3,Bachelor's,248000.0,90000.0,300000.0,Remote,Global,Hybrid,Mid-size (501-5000),Education,Storage|Kubernetes|CUDA|Networking|Cloud|Distributed Systems|Agile|Problem Solving,27.18,85,22.2,7.3,2025,6,0,1,0
AIJOB0078,RAG Engineer,AI Engineering,Mid,5,Bachelor's,145000.0,90000.0,320000.0,Amsterdam,Netherlands,On-site,Mid-size (501-5000),Finance,Search Systems|Vector DBs|Python|Embeddings|LangChain|Linux,29.27,94,41.4,9.6,2025,3,0,0,1
AIJOB0079,Multimodal AI Engineer,AI Engineering,Mid,7,Bootcamp/Self-taught,244000.0,90000.0,320000.0,Zurich,Switzerland,On-site,Mid-size (501-5000),Finance,Fine-tuning|PyTorch|Vision-Language Models|Agile|Communication,19.02,90,17.9,9.5,2025,5,0,0,1
AIJOB0080,AI Infrastructure Eng,Infrastructure,Mid,4,Bootcamp/Self-taught,167000.0,90000.0,320000.0,Zurich,Switzerland,Hybrid,SME (51-500),Consulting,Distributed Systems|Kubernetes|Networking|Statistics,18.54,85,18.6,9.4,2026,3,0,1,0
AIJOB0081,AI Infrastructure Eng,Infrastructure,Senior,9,Bachelor's,196000.0,95000.0,320000.0,Chicago,USA,On-site,Mid-size (501-5000),Media,Kubernetes|Distributed Systems|Cloud|Networking|Problem Solving|Statistics|Research,5.54,85,6.6,7.5,2026,2,1,0,0
AIJOB0082,AI Security Engineer,Security,Mid,4,Master's,146000.0,90000.0,320000.0,Amsterdam,Netherlands,Fully Remote,Enterprise (5000+),Media,Red Teaming|Python|Cybersecurity|Risk Analysis|Cloud,28.78,80,8.1,6.6,2025,6,0,1,0
AIJOB0083,AI Infrastructure Eng,Infrastructure,Senior,8,Bachelor's,179000.0,95000.0,320000.0,London,UK,Hybrid,Mid-size (501-5000),Consulting,Kubernetes|CUDA|Cloud|Storage|Distributed Systems|Problem Solving|Linux|Leadership,13.73,85,13.4,9.5,2025,1,1,1,0
AIJOB0084,Senior ML Engineer,AI Engineering,Senior,11,Master's,312000.0,95000.0,320000.0,New York,USA,Hybrid,Big Tech (FAANG+),Consulting,MLOps|LLM Fine-tuning|System Design|Agile|Research|Communication,50.36,96,65.3,6.6,2026,2,1,1,0
AIJOB0085,Deep Learning Engineer,AI Engineering,Senior,8,PhD,253000.0,95000.0,320000.0,Toronto,Canada,Hybrid,Big Tech (FAANG+),Finance,Neural Networks|PyTorch|TensorFlow|CUDA|Python|Communication|Research,21.93,89,7.4,7.1,2025,10,1,1,0
AIJOB0086,Prompt Engineer,AI Engineering,Entry,2,Associate's,121000.0,90000.0,300000.0,London,UK,Fully Remote,SME (51-500),Finance,NLP|Testing|Documentation|LLM APIs|Research|SQL,37.95,82,29.2,6.8,2025,1,0,1,1
AIJOB0087,MLOps Engineer,ML Operations,Senior,9,PhD,260000.0,95000.0,320000.0,Remote,Global,Hybrid,Big Tech (FAANG+),Technology,CI/CD|Kubernetes|Docker|Statistics|Cloud|Problem Solving,25.3,93,29.2,8.1,2025,9,1,1,0
AIJOB0088,AI Solutions Architect,Architecture,Senior,12,Master's,180000.0,95000.0,320000.0,Tokyo,Japan,On-site,Mid-size (501-5000),Technology,ML|Leadership|Enterprise Architecture|System Design|Python|Leadership|Cloud|SQL,13.25,84,25.1,8.0,2025,9,1,0,0
AIJOB0089,Senior Data Scientist,Data Science,Senior,9,Master's,218000.0,95000.0,320000.0,Toronto,Canada,Hybrid,Big Tech (FAANG+),Manufacturing,Deep Learning|Leadership|ML|Causal Inference|Advanced Statistics|SQL|Statistics,5.06,90,19.6,9.0,2026,3,1,1,0
AIJOB0090,AI Agent Developer,AI Engineering,Mid,6,PhD,290000.0,90000.0,320000.0,San Francisco,USA,On-site,Big Tech (FAANG+),Consulting,APIs|Python|Tool Use|Planning Systems|Problem Solving|Cloud|Linux,41.46,96,66.1,6.7,2026,2,0,0,1
AIJOB0091,Senior Data Scientist,Data Science,Senior,12,Associate's,183000.0,95000.0,320000.0,Amsterdam,Netherlands,Fully Remote,SME (51-500),Manufacturing,Leadership|Advanced Statistics|Deep Learning|Statistics|Research|Cloud,11.81,90,18.3,8.1,2026,3,1,1,0
AIJOB0092,Multimodal AI Engineer,AI Engineering,Mid,5,Master's,300000.0,90000.0,320000.0,Berlin,Germany,Hybrid,Big Tech (FAANG+),Manufacturing,PyTorch|Vision-Language Models|APIs|Fine-tuning|Python|Research|Statistics|Problem Solving,46.34,90,23.0,7.1,2026,3,0,1,1
AIJOB0093,LLM Engineer,AI Engineering,Mid,7,PhD,181000.0,90000.0,320000.0,Sydney,Australia,Hybrid,Mid-size (501-5000),Media,Fine-tuning|RAG|Vector DBs|Research|Communication|Leadership,11.71,98,34.8,6.4,2026,1,0,1,1
AIJOB0094,NLP Engineer,AI Engineering,Senior,9,Master's,290000.0,95000.0,320000.0,New York,USA,Hybrid,Big Tech (FAANG+),Healthcare,Text Processing|LLMs|Python|BERT|Hugging Face|Leadership,39.76,91,79.1,7.8,2025,5,1,1,0
AIJOB0095,AI Product Manager,Product,Senior,9,Associate's,140000.0,95000.0,320000.0,Paris,France,Fully Remote,Startup (1-50),Research,Product Strategy|AI Literacy|Agile|Data Analysis|Stakeholder Mgmt|Research|Linux,32.53,85,26.9,6.0,2026,1,1,1,0
AIJOB0096,AI Product Manager,Product,Mid,7,Master's,260000.0,90000.0,320000.0,Paris,France,Fully Remote,Enterprise (5000+),Technology,AI Literacy|Product Strategy|Data Analysis|Agile|Research|Agile|Linux,26.83,85,19.2,8.9,2025,11,0,1,0
AIJOB0097,LLM Engineer,AI Engineering,Entry,2,Bachelor's,283000.0,90000.0,300000.0,Amsterdam,Netherlands,On-site,Big Tech (FAANG+),Government,LLM APIs|RAG|Fine-tuning|Python|Agile,45.13,98,84.6,7.1,2026,1,0,0,1
AIJOB0098,Computer Vision Engineer,AI Engineering,Mid,5,Bachelor's,145000.0,90000.0,320000.0,Singapore,Singapore,Fully Remote,SME (51-500),Automotive,CUDA|Image Processing|PyTorch|CNNs|Python|OpenCV|Problem Solving|Communication,29.27,87,16.4,9.8,2025,12,0,1,0
